1.000	1.000	93.659	0.333
1.000	1.000	93.693	0.328
1.000	1.000	93.740	0.328
1.000	1.000	93.778	0.323
1.000	1.000	93.817	0.319
1.000	1.000	93.899	0.314
0.000	1.000	93.932	0.309
0.000	1.000	93.969	0.299
0.000	1.000	93.986	0.299
0.000	1.000	94.004	0.294
0.000	1.000	94.022	0.289
0.000	1.000	94.038	0.289
0.000	1.000	94.055	0.284
0.000	1.000	94.071	0.289
0.000	1.000	94.084	0.289
0.000	1.000	94.101	0.284
0.000	1.000	94.116	0.274
0.000	1.000	94.134	0.270
0.000	1.000	94.148	0.260
0.000	1.000	94.166	0.245
0.000	1.000	94.181	0.245
0.000	1.000	94.199	0.250
0.000	1.000	94.213	0.245
0.000	1.000	94.231	0.255
0.000	1.000	94.246	0.260
0.000	1.000	94.264	0.274
0.000	1.000	94.277	0.279
0.000	1.000	94.293	0.274
0.000	1.000	94.312	0.289
0.000	1.000	94.325	0.294
0.000	1.000	94.343	0.289
0.000	1.000	94.356	0.289
0.000	1.000	94.377	0.294
0.000	1.000	94.389	0.304
0.000	1.000	94.408	0.299
0.000	1.000	94.424	0.299
0.000	1.000	94.441	0.299
0.000	1.000	94.456	0.304
0.000	1.000	94.471	0.299
0.000	1.000	94.486	0.304
0.000	1.000	94.502	0.304
0.000	1.000	94.519	0.304
0.000	1.000	94.536	0.309
1.000	1.000	94.553	0.314
1.000	1.000	94.566	0.314
1.000	1.000	94.612	0.314
1.000	1.000	94.652	0.319
1.000	1.000	94.690	0.328
1.000	1.000	94.729	0.323
1.000	1.000	94.775	0.333
1.000	1.000	94.811	0.333
1.000	1.000	94.847	0.333
1.000	1.000	94.885	0.343
1.000	1.000	94.920	0.353
1.000	1.000	94.959	0.363
1.000	1.000	94.999	0.363
1.000	1.000	95.036	0.363
1.000	1.000	95.067	0.363
1.000	1.000	95.101	0.367
1.000	1.000	95.137	0.363
1.000	1.000	95.184	0.367
1.000	1.000	95.219	0.377
1.000	1.000	95.268	0.387
1.000	1.000	95.306	0.397
1.000	1.000	95.344	0.416
1.000	1.000	95.381	0.431
1.000	1.000	95.417	0.456
1.000	1.000	95.452	0.500
1.000	1.000	95.495	0.564
1.000	1.000	95.533	0.627
1.000	1.000	95.584	0.750
